Job Title,Organisation,Monthly Payment,Contract Type,Category,Closing,Location,Full-Time Equivalent (FTE),Opening
SAP ABAP Consultant,Axica Recruitment,3750.0,Permanent,Information Technology,2013-10-19 15:00:00,Lancashire,,2013-09-19 15:00:00
Application Support Analyst  UNIX  XML  Oracle (MANCHESTER),Nicoll Curtin Technology,4166.67,Permanent,Information Technology,2013-02-05 15:00:00,Manchester Science Park,,2012-12-07 15:00:00
Senior Software Development Engineer  Hampshire  Contract,Parallel Consulting,6000.0,Fixed Term Contract,Information Technology,2012-11-19 00:00:00,Hampshire,,2012-09-20 00:00:00
Technical Project Manager (Organisational Development),Parity Resourcing Solutions,5050.0,Fixed Term Contract,Information Technology,2013-11-16 12:00:00,Glasgow East Investment Park,,2013-10-17 12:00:00
SAP Basis PERMANENT  ENTRY LEVEL,Williams McKinley Ltd,2708.33,Permanent,Information Technology,2012-06-25 00:00:00,East Midlands,,2012-04-26 00:00:00
"DATABASE ADMINISTRATOR  Woking, Guildford, Surrey, South East",SmartSourcing plc,3333.33,Permanent,Information Technology,2012-11-24 12:00:00,Woking,,2012-10-25 12:00:00
SharePoint Web Developer  Financial Services,Pioneer Search Ltd,4791.67,Permanent,Information Technology,2012-02-18 00:00:00,Central London,,2012-01-19 00:00:00
System Administrator/Linux Engineer,Henderson Scott,4583.33,Permanent,Information Technology,2013-08-03 12:00:00,Calcot,,2013-06-04 12:00:00
"Developer  C++, SQL, MFC, C  Online Gaming",TDA Recruitment Ltd,3125.0,,Information Technology,2013-01-14 00:00:00,Ash Green,,2012-11-15 00:00:00
Front Office Equities change Manager,Westbourne Partners Ltd,7500.0,Permanent,Information Technology,2013-06-05 15:00:00,London,,2013-04-06 15:00:00
Service architect/designer,Anson McCade Ltd,6500.0,Fixed Term Contract,Information Technology,2013-10-06 12:00:00,Birmingham,,2013-08-07 12:00:00
Post Sales Project Manager (Telematics),Opus Recruitment Solutions Ltd,4166.67,Permanent,Information Technology,2014-02-16 15:00:00,West Town,,2013-11-18 15:00:00
"Security Consultant (encryption, symantec)",Review Contracts Ltd,3541.67,Permanent,Information Technology,2013-09-24 12:00:00,London,,2013-08-25 12:00:00
C++ Programmer  Gameplay and Animation experience,Jenrick CPI,4500.0,Fixed Term Contract,Information Technology,2013-06-26 00:00:00,Surrey,,2013-05-27 00:00:00
WebSphere Application Server  Level 3 Support  up to ****,Roc Search Limited,5125.0,Permanent,Information Technology,2013-07-19 12:00:00,London,,2013-04-20 12:00:00
Test Manager  City of London  Lloyd's of London Insurance  ****,William Alexander Recruitment Ltd,5208.33,Permanent,Information Technology,2013-07-16 12:00:00,Central London,,2013-05-17 12:00:00
Senior Cerner Solution Specialist,IT Works Recruitment Ltd,3250.0,Permanent,Information Technology,2012-02-04 12:00:00,London,,2012-01-05 12:00:00
Android Developer  eMarkets and eCommerce  Berkshire  Up To ****k,Impact 360,5000.0,Permanent,Information Technology,2012-08-27 12:00:00,Berkshire,,2012-06-28 12:00:00
Java Equity Derivatives Real Time Developer,Astbury Marsden,5625.0,Permanent,Information Technology,2012-07-05 00:00:00,Central London,,2012-05-06 00:00:00
iOS Developer  Hammersmith  ****,Roc Search Limited,3333.33,Permanent,Information Technology,2013-06-15 12:00:00,London,,2013-05-16 12:00:00
Front End Web Developer  HTML CSS net  London,Austin Fraser Ltd,4500.0,Fixed Term Contract,Information Technology,2013-08-05 15:00:00,London,,2013-06-06 15:00:00
Senior DBA  Database Administrator  SQL  RDBMS  West London  IT M,Henderson Scott,4375.0,Permanent,Information Technology,2013-08-12 12:00:00,London,,2013-07-13 12:00:00
Project Manager  Finance Systems (Dynamics GP Implementation),Ashdown Group,4583.33,,Information Technology,2012-07-31 15:00:00,Leatherhead,,2012-06-01 15:00:00
Front End Web Developer  JavaScipt  HTML  CSS  South West London,Henderson Scott,3750.0,Permanent,Information Technology,2013-11-28 12:00:00,London,,2013-10-29 12:00:00
FICC Algo/ETrading Java Developer,Astbury Marsden,6041.67,Permanent,Information Technology,2012-10-26 00:00:00,Central London,,2012-09-26 00:00:00
C++ Games Programmer,Jenrick CPI,4166.67,Permanent,Information Technology,2013-03-29 15:00:00,Surrey,,2013-02-27 15:00:00
Helpdesk/Call Centre/Customer Service/Junior IT/1st Line,TEKsystems,2000.0,Fixed Term Contract,Information Technology,2012-11-05 12:00:00,Calcot,,2012-10-06 12:00:00
"Lead UI Front End Developer  (CSS, HTML, JavaScript, Digital)",Streamline Connections,5000.0,Permanent,Information Technology,2013-03-30 15:00:00,Central London,,2013-02-28 15:00:00
Solutions Design Lead,Vertical IT Limited,3958.33,Permanent,Information Technology,2012-04-28 15:00:00,Warrington,,2012-03-29 15:00:00
"Senior Software Engineer (Windows, TCP/IP, Mobile communications)",Optimus Search Limited,6000.0,Fixed Term Contract,Information Technology,2013-05-17 15:00:00,Farnborough,,2013-04-17 15:00:00
"PHP Developer Linux, MySQL, Apache",TechNET IT Recruitment Limited,2166.67,Permanent,Information Technology,2012-11-15 00:00:00,Sompting,,2012-10-16 00:00:00
"Web Developer  C, ASPNET, JQuery, AJAX",Required IT Limited,3333.33,Permanent,Information Technology,2013-01-03 12:00:00,Walton-On-Thames,,2012-11-04 12:00:00
"Java Developer HTML, Javascript, CSS, Agile",TechNET IT Recruitment Limited,2583.33,Permanent,Information Technology,2013-12-31 00:00:00,Sheffield,,2013-12-01 00:00:00
Business Analyst  ERP implementation (Oracle) Warwickshire,Hudson Manchester,3083.33,Permanent,Information Technology,2013-08-05 15:00:00,Warwickshire,,2013-05-07 15:00:00
"Senior Business Analyst, Banking  Payments",The People Network,4583.33,Permanent,Information Technology,2012-08-18 00:00:00,Central London,,2012-06-19 00:00:00
"Software Developer  VBNET, C, VB6, SQL Server, ASPNET  West Londo",Henderson Scott,3208.33,Permanent,Information Technology,2012-07-07 00:00:00,London,,2012-05-08 00:00:00
CRM/TPM functional consultant  Manchester Base,Next Ventures Ltd,5208.33,Permanent,Information Technology,2013-04-29 15:00:00,Manchester Science Park,,2013-02-28 15:00:00
IT Technical Service Management roleMicrosoft Environment  Banking &,Westbourne Partners Ltd,4375.0,Permanent,Information Technology,2012-05-22 00:00:00,London,,2012-03-23 00:00:00
Developer/Support  Hedge Fund  up to ****K,Astbury Marsden,2708.33,Permanent,Information Technology,2012-05-14 12:00:00,Central London,,2012-03-15 12:00:00
Security Technical Analyst,Rullion IT Plus,2300.0,Fixed Term Contract,Information Technology,2012-10-04 12:00:00,Manchester Science Park,,2012-09-04 12:00:00
Business Analyst  Payroll Software  London  ****k,Parallel Consulting,3125.0,Permanent,Information Technology,2014-01-23 15:00:00,London,,2013-12-24 15:00:00
2nd/3rd line Server and Infrastructure Engineer  Windows Server ****,Capital Network Solutions Limited,2166.67,Permanent,Information Technology,2012-10-24 00:00:00,UK,,2012-07-26 00:00:00
Recruitment consultants IT/Change/Investment Banking,DJGLOBAL LTD,2500.0,Permanent,Information Technology,2013-09-28 12:00:00,London,,2013-08-29 12:00:00
Development Manager  Software Solutions  Retail,Initi8 Recruitment,6250.0,Permanent,Information Technology,2014-01-26 00:00:00,Oxfordshire,,2013-10-28 00:00:00
TSM Administrator,Experis IT,5500.0,Fixed Term Contract,Information Technology,2013-08-17 15:00:00,Hampshire,,2013-07-18 15:00:00
"Lead C++ Developer, (OS X), up to ****k, Cambridge",The People Network,4375.0,Permanent,Information Technology,2013-06-16 15:00:00,Little Chesterford,,2013-04-17 15:00:00
"Senior NET Developer  Banking  C, WPF, WCF, NET ****",Michael Rothstein Ltd,5833.33,Permanent,Information Technology,2012-07-31 15:00:00,London,,2012-07-01 15:00:00
Lead Business Objects Developer: XIR**** XIR****,Cornwallis Elt Ltd,3958.33,Permanent,Information Technology,2013-06-30 15:00:00,London,,2013-05-31 15:00:00
Senior C/Sitecore Developer  London,Connections Recruitment Ltd,4166.67,Permanent,Information Technology,2012-04-11 12:00:00,Central London,,2012-02-11 12:00:00
"Senior Consultant (RF, GSM, UMTS Optimisation)",AIRCOM Contractor Services Ltd,4166.67,Permanent,Information Technology,2012-12-20 15:00:00,Leatherhead,,2012-11-20 15:00:00
Graduate Software Engineer  Bradford  Java,Larson Group,1875.0,Permanent,Information Technology,2013-09-02 00:00:00,West Yorkshire,,2013-08-03 00:00:00
"CLAS Consultant  CLAS, CISSP, CISM, CESG  Information Security",MNM Associates LTD,5416.67,Permanent,Information Technology,2013-12-19 00:00:00,Birmingham,,2013-10-20 00:00:00
Service Desk Technician  Contract  Hook,Austin Fraser Ltd,2320.0,Fixed Term Contract,Information Technology,2012-08-30 15:00:00,Yorkshire and Humberside,,2012-08-16 15:00:00
IT Agile Business Analyst (Front Office Facing),Hill Newton,5250.0,Permanent,Information Technology,2013-10-04 00:00:00,Central London,,2013-07-06 00:00:00
Senior BizTalk Consultant,Lynx Recruitment Ltd,5833.33,Permanent,Information Technology,2013-05-26 00:00:00,Cliddesden,,2013-04-26 00:00:00
SC Cleared User Acceptance Testing Coordinator,Certes Computing Ltd ,6600.0,Fixed Term Contract,Information Technology,2013-05-20 00:00:00,Sutton Coldfield,,2013-04-20 00:00:00
Service Desk Analyst/Helpdesk Analyst/1st Line Support  Brighton,ARC IT Recruitment,1833.33,Permanent,Information Technology,2013-02-25 12:00:00,Sompting,,2012-12-27 12:00:00
Project Manager  ITIL  Prince****  Holborn  up to ****k,Langley James Ltd,3500.0,Permanent,Information Technology,2013-06-09 00:00:00,London,,2013-04-10 00:00:00
Senior Test Analyst  Manual/Automated  Manchester  ****K,Intelect Analytics,2687.5,Permanent,Information Technology,2014-01-30 12:00:00,Manchester Science Park,,2013-11-01 12:00:00
HEAD OF STRATEGIC PLANNING,Leeds Building Society,6250.0,Permanent,Finance and Accounting,2013-09-18 12:00:00,Horsforth,FULL TIME,2013-06-20 12:00:00
NQT Science Teacher,Edustaff   Birmingham,1799.0,Permanent,Teaching,2012-10-16 12:00:00,Nuneaton,FULL TIME,2012-08-17 12:00:00
Head of Finance Operations  Shared Service,Hays Senior Finance,6666.67,Permanent,Finance and Accounting,2014-01-01 15:00:00,West Town,FULL TIME,2013-11-02 15:00:00
Sales and Service Coordinator (Spare Parts),Forces Recruitment Services  Ltd,1875.0,Permanent,Sales,2013-06-20 15:00:00,Cheshire,FULL TIME,2013-03-22 15:00:00
"Senior Service Charge Accountant, Residential Property  Essex",Trident,3125.0,Permanent,Finance and Accounting,2012-08-19 12:00:00,Essex,FULL TIME,2012-05-21 12:00:00
Male  Care Assistant,GJ Care,1136.0,,Healthcare and Nursing,2014-02-19 00:00:00,UK,0.4 FTE,2013-12-21 00:00:00
Assistant Store Manager in Aylesbury/Buckinghamshire area,Roc UK Ltd ,1531.75,,Sales,2013-05-12 12:00:00,Aylesbury,FULL TIME,2013-03-13 12:00:00
FIELD SALES TEAM LEADERS,,2000.0,,Sales,2012-12-14 12:00:00,Bath,FULL TIME,2012-11-14 12:00:00
FIELD SALES TEAM LEADER,,3600.0,,Sales,2012-12-23 00:00:00,Waterlooville,FULL TIME,2012-11-23 00:00:00
Instrument Engineer (Oil & gas),,4791.67,Permanent,Engineering,2012-03-01 15:00:00,Great Yarmouth,FULL TIME,2012-01-01 15:00:00
QA/QC Coordinator (Oil and Gas),,2916.67,Permanent,Engineering,2013-02-03 15:00:00,Great Yarmouth,FULL TIME,2013-01-04 15:00:00
CAD Design Assistant,,1166.67,Permanent,Engineering,2013-08-31 12:00:00,Thetford,FULL TIME,2013-07-02 12:00:00
CUSTOMER TRAINING & SUPPORT OFFICER,,2166.67,Permanent,Healthcare and Nursing,2012-04-03 00:00:00,North West London,FULL TIME,2012-01-04 00:00:00
BDM / Account Manager,CVbrowser,3125.0,Permanent,Finance and Accounting,2013-10-10 15:00:00,Derby,FULL TIME,2013-07-12 15:00:00
Quantity/ Pipework Estimator,CVbrowser,2708.33,Permanent,Engineering,2012-02-01 12:00:00,Cardiff,FULL TIME,2012-01-02 12:00:00
Home Manager  Eastbourne,CVbrowser,3125.0,Permanent,Healthcare and Nursing,2012-09-19 00:00:00,Eastbourne,FULL TIME,2012-06-21 00:00:00
Assistant Accountant  Must be able to start Immediately,CVbrowser,2083.33,Permanent,Finance and Accounting,2012-08-16 12:00:00,Birmingham,FULL TIME,2012-05-18 12:00:00
Senior Software Engineer/Lead Engineer,CVbrowser,3333.33,Permanent,Information Technology,2013-10-13 12:00:00,Sheffield,FULL TIME,2013-08-14 12:00:00
Commercial Gas Field Technician,CVbrowser,2458.33,Permanent,Engineering,2013-08-24 00:00:00,Exeter,FULL TIME,2013-06-25 00:00:00
Staff Nurse RGN Nights Bridgwater ******** ph,CVbrowser,2283.58,Permanent,Healthcare and Nursing,2013-02-16 12:00:00,Bridgwater,FULL TIME,2012-12-18 12:00:00
Home Manager / Luxury Nursing Home for Elderly and Dementia  Hertford,CVbrowser,4208.33,Permanent,Healthcare and Nursing,2013-03-06 12:00:00,Hertford,FULL TIME,2012-12-06 12:00:00
Secure Facility Nurses/Prison Nurses  London,CVbrowser,4664.0,Permanent,Healthcare and Nursing,2013-06-06 00:00:00,The City,FULL TIME,2013-05-07 00:00:00
Field Sales Executive (Telco Sales)  Telco Solution Sales,CVbrowser,1875.0,Permanent,Sales,2012-05-01 15:00:00,Camberley,FULL TIME,2012-03-02 15:00:00
Technical Field Sales Executive,CVbrowser,4375.0,Permanent,Sales,2012-11-19 12:00:00,Leeds,FULL TIME,2012-09-20 12:00:00
General Sales Manager  Dealership,CVbrowser,3958.33,Permanent,Sales,2014-01-16 12:00:00,Banbury,FULL TIME,2013-11-17 12:00:00
SALES REPRESENTIVEFIELD SALES,CVbrowser,1583.33,Permanent,Sales,2012-08-31 00:00:00,Chichester,FULL TIME,2012-08-01 00:00:00
Nanny  experience essential,Nannyplus,1590.0,,Teaching,2012-08-09 12:00:00,Warrington,FULL TIME,2012-05-11 12:00:00
Automotive Systems Engineer (ADAS),Altran,3125.0,Permanent,Engineering,2013-11-16 00:00:00,Warwickshire,FULL TIME,2013-08-18 00:00:00
Communtiy Clinical Support Worker Reading,Bupa Home Healthcare,1104.17,Permanent,Healthcare and Nursing,2013-12-05 15:00:00,Reading,,2013-09-06 15:00:00
RGN Staff Nurse  West London  Southall,London4Jobs,2420.0,Permanent,Healthcare and Nursing,2012-12-04 00:00:00,UK,FULL TIME,2012-10-05 00:00:00
Creative Web Developer,London4Jobs,2083.33,Permanent,Information Technology,2013-11-02 15:00:00,Guildford,FULL TIME,2013-08-04 15:00:00
Digital Marketing Manager  Luxury Retailer  ****k  London,London4Jobs,3791.67,Permanent,"PR, Advertising and Marketing",2012-09-22 15:00:00,The City,FULL TIME,2012-08-23 15:00:00
Project Manager  Digital Marketing,,2291.67,,"PR, Advertising and Marketing",2012-02-29 12:00:00,Leicestershire,,2012-01-30 12:00:00
Senior Product Manager  Fashion Accessories,,3041.67,,"PR, Advertising and Marketing",2013-01-22 00:00:00,Northamptonshire,,2012-11-23 00:00:00
Insight Analyst  SAS / SPSS  Marketing Agency,,3125.0,,"PR, Advertising and Marketing",2012-03-29 00:00:00,Bath,,2012-01-29 00:00:00
Advertising Project Manager  Brand Marketing,,2625.0,,"PR, Advertising and Marketing",2013-06-05 15:00:00,Northamptonshire,,2013-05-22 15:00:00
Account Director Digital Marketing,,3666.67,,"PR, Advertising and Marketing",2014-02-17 00:00:00,Leicestershire,,2013-12-19 00:00:00
Technical Superintendent  Offshore Vessels,Advanced Resource Managers Ltd,3958.33,,Engineering,2013-01-06 00:00:00,Aberdeen,,2012-12-23 00:00:00
Senior Sales Ledger Assistant,Aberdeen Appointment Agency,1958.33,,Finance and Accounting,2012-01-28 00:00:00,Aberdeen,,2012-01-14 00:00:00
Engineering Manager  Energy from Waste  UK,Spencer Ogden,4583.33,,Engineering,2013-01-11 00:00:00,London,,2012-12-28 00:00:00
Petroleum Engineering Technician,Earthstaff Ltd,3333.33,,Engineering,2013-04-14 15:00:00,Aberdeen,,2013-03-15 15:00:00
Graduate Pipeline Integrity Engineer,Monarch,2083.33,,Engineering,2013-07-17 00:00:00,Eastern England,,2013-06-17 00:00:00
Snr Accounts Administrator (****hrs),Aberdeen Appointment Agency,1916.67,,Finance and Accounting,2013-03-28 15:00:00,Aberdeen,,2013-03-14 15:00:00
Sales ManagerPolymers,Mackenzie Stuart,2250.0,,Sales,2012-09-01 15:00:00,East Riding,,2012-08-02 15:00:00
Electronic Engineer/ Oil and Gas/ Aberdeen,Huxley Associates,3958.33,,Engineering,2013-11-08 12:00:00,Aberdeen,,2013-10-09 12:00:00
Contracts Commercial Manager,Lutech Resources,5625.0,,Finance and Accounting,2014-02-10 00:00:00,London,,2013-12-12 00:00:00
Lead Project Accountant,Aberdeen Appointment Agency,3333.33,,Finance and Accounting,2012-12-02 00:00:00,Aberdeen,,2012-11-02 00:00:00
Graduate Media Sales Scheme Leading Publisher Sutton,MEET THE REAL ME LTD,1604.17,Permanent,Sales,2014-03-25 15:00:00,Surrey,FULL TIME,2013-12-25 15:00:00
"Delegate Sales Executives, Conferences  **** required to start ASAP",SW6,1875.0,Permanent,Sales,2013-09-28 00:00:00,Central London,FULL TIME,2013-07-30 00:00:00
Unit Manager Birmingham  Solihull,Populus Healthcare,3041.67,,Healthcare and Nursing,2013-01-18 12:00:00,Solihull,FULL TIME,2012-12-19 12:00:00
Manager  Chichester,Populus Healthcare,3125.0,,Healthcare and Nursing,2013-08-28 00:00:00,Chichester,FULL TIME,2013-07-29 00:00:00
Senior Ward Nurse  Bristol  Bristol,SRS Healthcare,2500.0,,Healthcare and Nursing,2012-06-12 12:00:00,Bristol,FULL TIME,2012-05-13 12:00:00
CT/MR Radiographer,,3366.75,Permanent,Healthcare and Nursing,2012-05-06 12:00:00,London,,2012-04-06 12:00:00
Air Testing Engineer  Swansea,Penguin Recruitment,1791.67,Permanent,Engineering,2012-05-28 12:00:00,Swansea,,2012-02-28 12:00:00
Flood Risk Consultant  Telford  circa ****,Penguin Recruitment,2125.0,Permanent,Engineering,2012-09-21 00:00:00,Telford,,2012-07-23 00:00:00
ASSOCIATE DIRECTOR  TRANSPORTATION,Jarvis King Associates Ltd,3541.67,Permanent,Engineering,2012-12-20 15:00:00,Birmingham,,2012-10-21 15:00:00
PRINCIPAL MECHANICAL ENGINEER  WATER INDUSTRY,Jarvis King Associates Ltd,3708.33,Permanent,Engineering,2013-07-30 12:00:00,Warwickshire,,2013-05-31 12:00:00
COORDINATING TEACHER – Civil Engineering/Construction Management,Oaklands College,2479.08,Permanent,Engineering,2012-08-09 00:00:00,St. Albans,,2012-06-10 00:00:00
Structural Design/Project Engineer,Walker Dendle,2833.33,Permanent,Engineering,2012-12-22 15:00:00,UK,,2012-11-22 15:00:00
Bridge Engineer  Hong Kong,EWI Recruitment,4654.83,Permanent,Engineering,2012-12-05 00:00:00,UK,,2012-11-05 00:00:00
"Highways, Roads And Transportation Design Engineers  Cairo",EWI Recruitment,2482.58,Permanent,Engineering,2012-10-10 12:00:00,UK,,2012-08-11 12:00:00
MECHANICAL ESTIMATOR  Maintenance or Small Works Experience,Jarvis King Associates Ltd,3000.0,Permanent,Engineering,2012-10-08 00:00:00,Glasgow,,2012-08-09 00:00:00
Resident Construction / Project Manager (Hydropower),EWI Recruitment,594.75,Fixed Term Contract,Engineering,2012-10-12 15:00:00,UK,,2012-09-12 15:00:00
Tunnel Design Engineer,EWI Recruitment,2586.0,Permanent,Engineering,2014-01-28 15:00:00,UK,,2013-11-29 15:00:00
HIGH VOLTAGE CONTROL PROTECTION DESIGN ENGINEER,Jarvis King Associates Ltd,3166.67,Permanent,Engineering,2013-07-28 00:00:00,Aberdeenshire,,2013-06-28 00:00:00
PRINCIPAL WASTEWATER NETWORK MODELLER,Jarvis King Associates Ltd,3791.67,Permanent,Engineering,2013-11-11 00:00:00,Edinburgh,,2013-08-13 00:00:00
Infrastructure Design Engineer – Birmingham,Conrad Consulting,4560.0,Fixed Term Contract,Engineering,2014-01-30 12:00:00,West Midlands,,2013-12-01 12:00:00
Power Generation CCGT Project Manager,Jarvis King Associates Ltd,4583.33,Permanent,Engineering,2012-12-17 12:00:00,West Yorkshire,,2012-10-18 12:00:00
DESIGN ENGINEER (Power Generation),Jarvis King Associates Ltd,4416.67,Permanent,Engineering,2012-08-05 15:00:00,Glasgow,,2012-05-07 15:00:00
Geotechnical Engineer  Slope Protection  Roads,EWI Recruitment,3103.25,Fixed Term Contract,Engineering,2012-09-13 15:00:00,UK,,2012-08-30 15:00:00
Senior Civil Design Engineer,McGinley Support Services,4400.0,Fixed Term Contract,Engineering,2012-09-11 15:00:00,Scotland,,2012-07-13 15:00:00
Coastal Engineer,EWI Recruitment,4000.0,Permanent,Engineering,2013-05-01 00:00:00,UK,,2013-04-01 00:00:00
Senior Structural AutoCAD Technician,Walker Dendle,2708.33,Permanent,Engineering,2012-08-20 15:00:00,London,,2012-06-21 15:00:00
Structural Conservation Engineer,Walker Dendle,3750.0,Permanent,Engineering,2013-06-02 12:00:00,London,,2013-04-03 12:00:00
Raw Graduate Structural Design Engineer,Walker Dendle,1812.5,Permanent,Engineering,2012-03-31 12:00:00,London,,2012-01-31 12:00:00
RawGraduate Structural Engineer,Walker Dendle,1958.33,Permanent,Engineering,2013-01-08 00:00:00,London,,2012-11-09 00:00:00
Chartered (or near) Structural Bridge Engineer,Walker Dendle,3437.5,Permanent,Engineering,2012-04-06 00:00:00,London,,2012-02-06 00:00:00
Associate Civil Infrastructure Engineer,Walker Dendle,3875.0,Permanent,Engineering,2012-11-10 12:00:00,London,,2012-10-11 12:00:00
Geotechnical Site Engineers / Project Managers,Calco Services Limited,2708.33,Permanent,Engineering,2013-08-01 15:00:00,London,,2013-07-02 15:00:00
Project Manager / Quantity Surveyor (Partitioning),Calco Services Limited,3750.0,Permanent,Engineering,2013-04-30 15:00:00,Buckinghamshire,,2013-01-30 15:00:00
Team Leader  Roads Capacity,EWI Recruitment,517.17,Permanent,Engineering,2013-02-02 00:00:00,UK,,2012-12-04 00:00:00
TL/ Resident Engineer  (Highways Detailed Design),EWI Recruitment,567.42,Fixed Term Contract,Engineering,2013-02-11 12:00:00,UK,,2013-01-28 12:00:00
Pensions Systems Analyst,IPS Group,2916.67,Permanent,Finance and Accounting,2012-04-24 12:00:00,West Sussex,,2012-01-25 12:00:00
Nursery Nurse  Westminster,Bright Horizons Family Solutions,1250.0,Permanent,Teaching,2014-03-11 15:00:00,Central London,FULL TIME,2013-12-11 15:00:00
Nursery Nurses required  Alperton,Bright Horizons Family Solutions,1166.67,Permanent,Teaching,2012-10-11 00:00:00,UK,FULL TIME,2012-07-13 00:00:00
Nursery Nurse  Trafford,Bright Horizons Family Solutions,1250.0,Permanent,Teaching,2013-08-07 15:00:00,Greater Manchester,FULL TIME,2013-06-08 15:00:00
Part Time Housekeeper (Evenings),Juice Hospitality,960.0,Permanent,Hospitality and Catering,2012-05-03 12:00:00,UK,,2012-02-03 12:00:00
Deputy Charge Nurse  Low/Medium Secure Hospital,Liquid Personnel,2833.33,Permanent,Healthcare and Nursing,2012-11-07 15:00:00,West Sussex,,2012-09-08 15:00:00
PHP Developer X****  gain Zend skills,NonStop Recruitment,2833.33,Permanent,Information Technology,2012-11-30 15:00:00,Brighton,,2012-10-01 15:00:00
Care Team Leader (Part time)  Residential Home,Liquid Personnel,812.5,Permanent,Healthcare and Nursing,2012-07-14 00:00:00,Plymouth,,2012-05-15 00:00:00
Senior Nurse (RMN),Liquid Personnel,2583.33,Permanent,Healthcare and Nursing,2013-05-13 00:00:00,Brighton,,2013-02-12 00:00:00
Staff Nurse (RGN) Part Time Nights,Liquid Personnel,1458.33,Permanent,Healthcare and Nursing,2013-10-30 00:00:00,Horsham,,2013-08-01 00:00:00
C Web Developer  Kerry  Excellent Rates,Reperio Human Capital Ltd,7000.0,Fixed Term Contract,Information Technology,2012-04-06 00:00:00,UK,,2012-03-23 00:00:00
Clinical Manager (RGN),Liquid Personnel,3791.67,Permanent,Healthcare and Nursing,2013-08-11 12:00:00,The City,,2013-07-12 12:00:00
B2B PR Account Manager  Technology / Financial Services Sector,Definitive,2583.33,Permanent,Finance and Accounting,2012-02-28 12:00:00,London,,2012-01-29 12:00:00
ISEB / ISTQB Test Manager  QTP,Definitive,3541.67,Permanent,Information Technology,2012-05-22 15:00:00,Guildford,,2012-02-22 15:00:00
Area Manager (6 month contract),Liquid Personnel,3375.0,Permanent,Healthcare and Nursing,2012-05-25 15:00:00,Essex,,2012-03-26 15:00:00
Cloud Delivery Manager Edinburgh,Oho Group,4375.0,Permanent,Information Technology,2013-02-03 00:00:00,London,,2012-11-05 00:00:00
Scotland Junior Developer Drupal,NonStop Recruitment,1916.67,Permanent,Information Technology,2012-05-11 15:00:00,Edinburgh,,2012-04-11 15:00:00
"Business Development Manager  Office Products, London",Charter Selection,3250.0,Permanent,Sales,2012-06-09 12:00:00,Croydon,,2012-03-11 12:00:00
Head of Finance  Insurance,Insight Recruitment Solutions Ltd,5958.33,Permanent,Finance and Accounting,2012-07-25 00:00:00,London,,2012-05-26 00:00:00
Business Development Manager  Fluent Chinese,Prime Personnel Services Ltd,5833.33,Permanent,Finance and Accounting,2012-10-16 00:00:00,West End,,2012-07-18 00:00:00
Risk Manager  Consumer Credit,C.K.R. Recruitment Limited,4791.67,Permanent,Finance and Accounting,2013-11-22 12:00:00,West Sussex,,2013-08-24 12:00:00
physical commodities,City East Recruitment Limited,5000.0,Fixed Term Contract,Finance and Accounting,2012-03-25 12:00:00,London,,2012-03-11 12:00:00
Account Executive (Personal Protective Equipment),Edge Recruits,1666.67,Permanent,Sales,2012-06-10 00:00:00,Bolton,,2012-03-12 00:00:00
Internal audit manager  Change,Black Swan Associates Limited,4166.67,Permanent,Finance and Accounting,2012-09-17 00:00:00,The City,,2012-07-19 00:00:00
Treasury Accounting and Operations Manager,Experis Limited,3958.33,Permanent,Finance and Accounting,2012-11-09 15:00:00,Guildford,,2012-10-10 15:00:00
Senior FX Dealer with client base,Arthur Financial Ltd,3541.67,Permanent,Finance and Accounting,2012-04-02 15:00:00,The City,,2012-02-02 15:00:00
SENIOR PENSIONS / CLIENT SERVICES ASSOCIATE  DC (LONDON OUTSKIRTS),Montpellier Resourcing Ltd,3333.33,Permanent,Finance and Accounting,2013-07-20 12:00:00,South East England,,2013-06-20 12:00:00
Junior Electronics Engineer Salisbury,Oho Group,2708.33,Permanent,Engineering,2014-01-24 00:00:00,Salisbury,,2013-10-26 00:00:00
Senior Developer Drupal  Scotland,NonStop Recruitment,2916.67,Permanent,Information Technology,2013-01-07 15:00:00,Scotland,,2012-12-08 15:00:00
Test Development Engineer Teradyne  Cambridge,Oho Group,4166.67,Permanent,Information Technology,2012-11-17 00:00:00,Cambridgeshire,,2012-10-18 00:00:00
Middleweight developer Southampton ****K,Explore Group,3166.67,Permanent,Information Technology,2012-05-07 12:00:00,Southampton,,2012-02-07 12:00:00
Theatre/Scrub/Endoscopy nurse RGN,Liquid Personnel,2041.67,Permanent,Healthcare and Nursing,2012-07-26 00:00:00,Milton Keynes,,2012-05-27 00:00:00
Chef de Partie PastryLondon****AA Restaurant ****k,HC Solutions Ltd,1916.67,Permanent,Hospitality and Catering,2013-01-13 00:00:00,London,,2012-12-14 00:00:00
Commis PastryLondon****/****AA Restaurant ****k,HC Solutions Ltd,1416.67,Permanent,Hospitality and Catering,2012-08-09 12:00:00,London,,2012-07-10 12:00:00
FPGA Design Engineer  Image Processing  Midlands,Oho Group,3333.33,Permanent,Information Technology,2013-10-04 12:00:00,West Midlands,,2013-09-04 12:00:00
Design engineers needed for Cambridge company,Oho Group,3750.0,Permanent,Information Technology,2013-08-28 00:00:00,Cambridgeshire,,2013-05-30 00:00:00
